Writer,Content,Date,Like,Tag,Comments,Url
foodradio,에 토핑 말아서 떡볶이🌶 숯불후랑크랑 치즈가 진짜 맛있어요👍 어묵은 오래 끓인 게 더 맛있어서 따로 넣는 걸 추천!,3-22,58.5K,['#라이스페이퍼'],117,https://www.tiktok.com/@foodradio/video/7213348039388368130?q=%EC%9D%8C%EC%8B%9D
inssa__elf,먹어도 살 안찌는 음식리스트.jpg 다 근육이고 피부에 좋고 그런거자나요? 암튼 맛있으면 0칼로리٩(๑❛ワ❛๑) @@살은 음식이 안찌지..내가 찌지..^^,2022-9-22,9755,[],331,https://www.tiktok.com/@inssa__elf/video/7146195090132749569?q=%EC%9D%8C%EC%8B%9D
bayashi.tiktok,,2022-7-27,2.6M,"['#tiktokfood', '#asmr', '#roastbeef']",12.7K,https://www.tiktok.com/@bayashi.tiktok/video/7124970218874555650?q=%EC%9D%8C%EC%8B%9D
tamweird,무조건 5분안에 먹어야 된다는 음식 ㄷㄷ,1-22,19K,"['#일본디저트', '#신기한음식', '#틱톡푸드', '#리뷰', '#추천']",45,https://www.tiktok.com/@tamweird/video/7191460093798386945?q=%EC%9D%8C%EC%8B%9D
ohmygarlic,회오리 오이무침 Let's cook spicy twister cucumber with music🎵,8-9,2.7M,"['#food', '#tiktokfood', '#eating', '#koreanfood']",7925,https://www.tiktok.com/@ohmygarlic/video/7265289448483523848?q=%EC%9D%8C%EC%8B%9D
jkook_je0n97,자기가 만든 음식 맛있다고 기절한 전정국 ㅋㅋㅋㅋㅋㅋㅋ,4-2,1.4M,"['#방탄소년단', '#전정국', '#위버스', '#추천']",7840,https://www.tiktok.com/@jkook_je0n97/video/7217449303869082882?q=%EC%9D%8C%EC%8B%9D
foodradio,먹잘알들이 모이면 생기는 일🥲 여러분들이 자꾸 맛있는 거 추천해줘서 살찌잖아 책임져요...,7-4,57.3K,"['#순대', '#라이스페이퍼']",106,https://www.tiktok.com/@foodradio/video/7251968336647572737?q=%EC%9D%8C%EC%8B%9D
rod_0416,배민러가뽑은배달음식top10,9-11,214,"['#배달음식', '#뭐먹을까', '#추천']",2,https://www.tiktok.com/@rod_0416/video/7277366483519393025?q=%EC%9D%8C%EC%8B%9D
hamzy_korean,입맛 없을 땐 열무비빔밥,7-17,756.6K,"['#bibimbap', '#열무김치', '#차돌된장찌개', '#mukbang', '#tiktokfood', '#koreanfood']",1201,https://www.tiktok.com/@hamzy_korean/video/7256441257197604114?q=%EC%9D%8C%EC%8B%9D
borisbtt1pkdl,이중에서 평생 하나의 음식만 먹어야 한다면?,2022-7-1,25.6K,"['#극혐음식', '#호불호음식', '#fyp', '#fypシ']",4241,https://www.tiktok.com/@borisbtt1pkdl/video/7115052239403699458?q=%EC%9D%8C%EC%8B%9D
ohmygarlic,김치전에 치즈 얹어 무봤나?! Let's cook kimchijeon with music🎵,8-18,87.9K,"['#tiktokfood', '#koreanfood', '#eating']",445,https://www.tiktok.com/@ohmygarlic/video/7268310628996025602?q=%EC%9D%8C%EC%8B%9D
hyeyu_kane,미유님 다양한 음식 먹방 🧀🥩🍤🍯🧋🍑 신청 감사합니다❤️ みゆちゃん様々な食べ物を食べる❤️,8-4,206K,['#miyuasmr'],890,https://www.tiktok.com/@hyeyu_kane/video/7263408892657356050?q=%EC%9D%8C%EC%8B%9D
ohmygarlic,밥도둑..진심행복 그 자체 need lots of rice,5-1,88.6K,"['#food', '#tiktokfood', '#eating', '#eatingshow', '#foodtiktok']",475,https://www.tiktok.com/@ohmygarlic/video/7227860979617516801?q=%EC%9D%8C%EC%8B%9D
sintrust0,살찌는 음식(부위별로 정리해 봤음),2022-12-15,31.4K,"['#상식', '#다이어트꿀팁', '#건강정보', '#파트너크리에이터', '#라이징히어로']",500,https://www.tiktok.com/@sintrust0/video/7177331784663846146?q=%EC%9D%8C%EC%8B%9D
ddo.sol,또솔이 잘 안 먹는 음식.. 도전🔥 여러분들도! 잘 안먹는 음식 있으면! 하나씩 알려주세요😂💛,2022-8-27,308.3K,"['#마라탕', '#틱톡푸드']",739,https://www.tiktok.com/@ddo.sol/video/7136549068926422274?q=%EC%9D%8C%EC%8B%9D
ddo.sol,은근 호불호 있는 음식 모음!!,3-10,228.9K,"['#호불호음식', '#이모지먹방']",1202,https://www.tiktok.com/@ddo.sol/video/7208931075022654722?q=%EC%9D%8C%EC%8B%9D
puyapuya091128,매일 아침 먹을 시리얼 고르기 ※죽을 수도 있음※,2021-11-7,45.7K,"['#시리얼', '#고르기', '#더러운음식', '#추천떠라', '#히트쳐라']",5763,https://www.tiktok.com/@puyapuya091128/video/7027798682074483970?q=%EC%9D%8C%EC%8B%9D
ddo.sol,매운맛 5단계 도전!!! 여러분들은 몇단계까지 가능하신가요!!?🔥🔥🔥,2022-6-29,1.6M,"['#도전먹방', '#매운음식', '#틱톡푸드', '#또솔이식판']",8606,https://www.tiktok.com/@ddo.sol/video/7114660522292776194?q=%EC%9D%8C%EC%8B%9D
dangbee_eating,햅삐뉴이아!!🖤🐰 많은 분들이 요청하신 닭발 가져왔습니당❤️‍🔥 닭발만 먹으면 심심하니까 치즈랑 마요네즈랑 영계구이랑❤️‍🔥 쫀맛탱🤤,1-1,3.3M,[],14.2K,https://www.tiktok.com/@dangbee_eating/video/7183616068210920705?q=%EC%9D%8C%EC%8B%9D
borisbtt1pkdl,이중에서 평생 하나의 음식만 먹어야 한다면?,2022-6-27,26.1K,"['#극혐음식', '#fyp', '#fypシ', '#관리자님추천뜨게해주세요']",2414,https://www.tiktok.com/@borisbtt1pkdl/video/7113568482108673282?q=%EC%9D%8C%EC%8B%9D
ddo.sol,5가지 몸보신 음식🔥 이번 여름에 여기서! 몇가지 드셔보셨나요!!!? (여름마무리! 건강하게 보내세요!!!🥰💛),2022-8-16,56.9K,[],225,https://www.tiktok.com/@ddo.sol/video/7132408841022475522?q=%EC%9D%8C%EC%8B%9D
borisbtt1pkdl,이중에서 평생 하나의 음식만 먹어야 한다면?,2022-7-10,27.4K,"['#극혐음식', '#음식', '#fyp', '#fypシ', '#관리자님잘생겼어요']",3103,https://www.tiktok.com/@borisbtt1pkdl/video/7118389200885468418?q=%EC%9D%8C%EC%8B%9D
borisbtt1pkdl,이중에서 평생 하나의 음식만 먹어야 한다면?,2022-7-6,3290,"['#극혐음식', '#음식', '#ㅇㅅ', '#fyp', '#fypシ']",651,https://www.tiktok.com/@borisbtt1pkdl/video/7116905188325100802?q=%EC%9D%8C%EC%8B%9D
halfyoullife,bibimbap with preennn🫶🏻,9-18,2.6M,['#koreanfoods'],18.9K,https://www.tiktok.com/@halfyoullife/video/7279820607754161413?q=%EC%9D%8C%EC%8B%9D
a.bite,Muksna’s Favorite food 🤣,2022-2-13,294K,"['#한판만', '#foryou', '#foryourpage', '#foryoupage', '#foru', '#먹방', '#mukbang']",2157,https://www.tiktok.com/@a.bite/video/7064129724594834690?q=%EC%9D%8C%EC%8B%9D
borisbtt1pkdl,이중에서 평생 하나의 음식만 먹어야 한다면?,2022-7-5,9211,"['#극혐음식', '#호불호음식', '#fyp', '#fypシ']",1625,https://www.tiktok.com/@borisbtt1pkdl/video/7116533126158961922?q=%EC%9D%8C%EC%8B%9D
miyuasmr,ウインナー食べ比べ第二弾🥩Sausages🥩,4-11,1.6M,"['#ウインナー', '#咀嚼音', '#食べる音', '#mukbang', '#asmr', '#asmrsounds']",11.4K,https://www.tiktok.com/@miyuasmr/video/7220715135223024903?q=%EC%9D%8C%EC%8B%9D
borisbtt1pkdl,이중에서 평생 하나의 음식만 먹어야 한다면?,2022-6-29,28.6K,"['#극혐음식', '#fyp', '#fypシ', '#관리자님잘생겼어요']",4650,https://www.tiktok.com/@borisbtt1pkdl/video/7114306865193831681?q=%EC%9D%8C%EC%8B%9D
cure0721,램덤 빨강 음식 먹방🦞🍉,5-6,5.2M,"['#추천', '#fyp', '#mukbang']",21.1K,https://www.tiktok.com/@cure0721/video/7230062805632683266?q=%EC%9D%8C%EC%8B%9D
mayofood,"30년 전통, 계란빵 할아버지│1$ Korean Egg Bread│Korean Street Food",2022-1-27,302.1K,"['#계란빵', '#길거리음식', '#계란빵할아버지']",1044,https://www.tiktok.com/@mayofood/video/7057836478990175490?q=%EC%9D%8C%EC%8B%9D
cure0721,램덤 노랑음식 먹방🧀,2022-10-16,2.3M,"['#추천', '#틱톡순삭', '#fyp', '#파트너크리에이터', '#구래']",10.5K,https://www.tiktok.com/@cure0721/video/7155043457491275010?q=%EC%9D%8C%EC%8B%9D
sukamukbang.official,Mukbang Chinese,8-17,246.8K,"['#chinesefood', '#mukbangchinafood', '#mukbangchinese', '#mukbangeatingshow', '#fyp']",1632,https://www.tiktok.com/@sukamukbang.official/video/7268259553945406725?q=%EC%9D%8C%EC%8B%9D
cure0721,램덤 주황음식 먹방🥕🍔,4-1,4.8M,"['#추천', '#mukbang']",22.4K,https://www.tiktok.com/@cure0721/video/7217037195285220610?q=%EC%9D%8C%EC%8B%9D
cure0721,램덤 핑크 음식 먹방🍬,4-8,5.9M,"['#추천', '#mukbang']",18K,https://www.tiktok.com/@cure0721/video/7219624426319498498?q=%EC%9D%8C%EC%8B%9D
ddo.sol,오늘의 급식🤟🏻 면파티🍜 좋아하는 면음식 하나씩 적고가기!!!!!!!!,2022-8-1,1.1M,"['#면음식', '#틱톡푸드', '#또솔이식판', '#mukbang']",2169,https://www.tiktok.com/@ddo.sol/video/7126899253175225601?q=%EC%9D%8C%EC%8B%9D
qqppaall0098,설레임 매운맛,2-24,321.3K,"['#spicy', '#spicyfood', '#eatingshow']",3057,https://www.tiktok.com/@qqppaall0098/video/7203625747204902145?q=%EC%9D%8C%EC%8B%9D
ddo.sol,아빠가 생각나는 급식💛 아빠!하면 생각나는 음식! 하나씩 적고 가기!!,2-24,156.4K,"['#아빠', '#사랑해요', '#또솔이식판', '#틱톡푸드']",4560,https://www.tiktok.com/@ddo.sol/video/7203732632415309058?q=%EC%9D%8C%EC%8B%9D
cure0721,랜덤 파랑 음식 먹방🥶,6-17,2.5M,"['#추천', '#mukbang']",15.6K,https://www.tiktok.com/@cure0721/video/7245617380720692481?q=%EC%9D%8C%EC%8B%9D
huba333,Spicy Food Funny Mukbang,2022-7-30,233.5K,"['#틱톡푸드', '#틱톡먹방', '#이건어떤맛일까', '#대야레시피', '#spicy', '#spicyfood']",1141,https://www.tiktok.com/@huba333/video/7126092243752078593?q=%EC%9D%8C%EC%8B%9D
stephaniekimchi,🌸🤍🌸🤍,2022-1-23,137.7K,"['#틱톡푸드', '#틱톡요리', '#추천', '#fyp']",417,https://www.tiktok.com/@stephaniekimchi/video/7056272275175165186?q=%EC%9D%8C%EC%8B%9D
baby_pig_rabbit,대만 싼허 야시장에서 (대략) 15000원으로 먹을 수 있는 음식은?!,5-2,49.6K,['#먹방브이로그'],149,https://www.tiktok.com/@baby_pig_rabbit/video/7228483379006672130?q=%EC%9D%8C%EC%8B%9D
hong_sound12,뇌까지 시원해지는 아이스크림 ASMR #아이스크림 #샤베트 #먹방 #리얼사운드 #asmr #eatingshow #mukbang #eatingfood #틱톡미식회 #틱톡푸드 #여름음식,8-20,36.3K,"['#아이스크림', '#샤베트', '#먹방', '#리얼사운드', '#asmr', '#eatingshow', '#mukbang', '#eatingfood', '#틱톡미식회', '#틱톡푸드', '#여름음식']",541,https://www.tiktok.com/@hong_sound12/video/7269305469829680402?q=%EC%9D%8C%EC%8B%9D
cure0721,랜덤 갈색 음식 먹방💩,7-1,1.4M,"['#추천', '#mukbang']",8642,https://www.tiktok.com/@cure0721/video/7250842096574254337?q=%EC%9D%8C%EC%8B%9D
ddo.sol,오늘은 초록색 급식💚 좋아하는 초록색 음식 하나씩 적고가기!!,4-4,90.7K,"['#초록색음식', '#틱톡푸드', '#또솔이식판', '#mukbang']",575,https://www.tiktok.com/@ddo.sol/video/7218188326963088642?q=%EC%9D%8C%EC%8B%9D
hyo.boss,🐟대왕 연어 2탄! 마지막 소스는 좀...🤔,1-21,162.5K,"['#foryou', '#연어먹방', '#Salmon', '#Salmonasmr', '#eatingasmr']",1134,https://www.tiktok.com/@hyo.boss/video/7191058594664615170?q=%EC%9D%8C%EC%8B%9D
kpetworld,강아지가 먹어도 되는 건강에 좋은 음식 7가지,2-12,71.8K,"['#강아지건강', '#강아지정보', '#귀여운강아지', '#강아지상식']",822,https://www.tiktok.com/@kpetworld/video/7199100444692483329?q=%EC%9D%8C%EC%8B%9D
foodzzangdew__,,8-26,39.7K,"['#치즈밥', '#치즈밥레시피', '#간단한요리레시피', '#간단요리', '#recipe', '#foodtiktok']",220,https://www.tiktok.com/@foodzzangdew__/video/7271429261699861762?q=%EC%9D%8C%EC%8B%9D
sangspak,김정은이 미치도록 좋아하는 음식 #shorts,7-10,20.3K,['#shorts'],262,https://www.tiktok.com/@sangspak/video/7254063063719021825?q=%EC%9D%8C%EC%8B%9D
oiivviio11,짱구아빠 괴식 먹어봄 ㅋㅋㅋㅋ,7-2,86.9K,"['#짱구아빠', '#짱구음식', '#리얼후기', '#광자빌런']",931,https://www.tiktok.com/@oiivviio11/video/7251126880550669569?q=%EC%9D%8C%EC%8B%9D
ddo.sol,오늘의 급식🤟🏻 불닭볶음탕면🔥 맛있어서 행복해요!!!!! 매운 음식 좋아하는 사람 모여라!!💛,7-9,218.5K,"['#불닭볶음탕면', '#통대창']",456,https://www.tiktok.com/@ddo.sol/video/7253678363468958978?q=%EC%9D%8C%EC%8B%9D
jang.guem.mukbang,님에게 회신 마마님들 청나라 사신께 배운 비법으로 소인이 직접 마라탕을 끓였사옵니다~🤤🤤 뒤에 소리가 절단나서 편집된 점 송구하옵니다 😭,1-6,32.2K,[],421,https://www.tiktok.com/@jang.guem.mukbang/video/7185469428623002881?q=%EC%9D%8C%EC%8B%9D
luyiiii7777,뭐양~무제한 짜장면이랑 탕수육 9900원,7-13,48K,"['#韓式炸醬麵', '#짜장면', '#뷔페']",464,https://www.tiktok.com/@luyiiii7777/video/7255309566001433883?q=%EC%9D%8C%EC%8B%9D
chengdamunni,분홍 소세지 컵 비빔밥☺️,9-24,627.6K,"['#요리하는메이크업아티스트', '#틱톡푸드', '#delicious', '#food', '#bibimbap']",6826,https://www.tiktok.com/@chengdamunni/video/7282289410731691271?q=%EC%9D%8C%EC%8B%9D
merryfather,소리만 듣고,7-5,21.8K,"['#음식', '#묘정', '#ASMR', '#예능', '#먹방']",89,https://www.tiktok.com/@merryfather/video/7252191500216454402?q=%EC%9D%8C%EC%8B%9D
cure0721,랜덤 보라 음식 먹방😈,7-8,2M,"['#추천', '#mukbang']",8330,https://www.tiktok.com/@cure0721/video/7253424582223318274?q=%EC%9D%8C%EC%8B%9D
